Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
date_first_hand_srg,sentinel_events,,text,Estimated date of first Hand surgery,,YYYY-MM-DD,date_ymd,,,,"[hist_hand_srg]=""1""",y,,,,,
age_first_hand_srg,sentinel_events,,calc,Estimated age at first Hand surgery,"round(datediff([visit_1_arm_1][dob], [date_first_hand_srg],""y"",""ymd""),2)",Calculated field,,,,,"[hist_hand_srg]=""1""",,,,,,
hist_bmt,sentinel_events,Bone Marrow Transplant,radio,Has the patient had Bone Marrow (Hematopoietic Stem Cell) Transplant?,"1, Yes | 0, No",Lifetime BMT,,,,,,,,,,,
date_first_bmt,sentinel_events,,text,Estimated date of first Bone Marrow Transplant,,YYYY-MM-DD,date_ymd,,,,"[hist_bmt]=""1""",y,,,,,
age_first_bmt,sentinel_events,,calc,Estimated age at first Bone Marrow Transplant,"round(datediff([visit_1_arm_1][dob], [date_first_bmt],""y"",""ymd""),2)",Calculated field,,,,,"[hist_bmt]=""1""",,,,,,
hist_dilat,sentinel_events,Gastrointestinal ,radio,Has the patient had Esophageal Dilatations?,"1, Yes | 0, No",Lifetime dilatations,,,,,,,,,,,
date_first_dilat,sentinel_events,,text,Estimated date of first Esophageal Dilatation,,YYYY-MM-DD,date_ymd,,,,"[hist_dilat]=""1""",y,,,,,
age_first_dilat,sentinel_events,,calc,Estimated age at first Esophageal Dilatation,"round(datediff([visit_1_arm_1][dob], [date_first_dilat],""y"",""ymd""),2)",Calculated field,,,,,"[hist_dilat]=""1""",,,,,,
hist_gastrostomy,sentinel_events,,radio,Has the patient had a G- or G-J-tube placed?,"1, Yes | 0, No",Lifetime gastrostomy,,,,,,,,,,,
date_first_gastro,sentinel_events,,text,Estimated date of first Gastrostomy tube placement,,YYYY-MM-DD,date_ymd,,,,"[hist_gastrostomy]=""1""",y,,,,,
age_gastrostomy,sentinel_events,,calc,Estimated age at first Gastrostomy tube placement,"round(datediff([visit_1_arm_1][dob], [date_first_gastro],""y"",""ymd""),2)",Calculated field,,,,,"[hist_gastrostomy]=""1""",,,,,,
hist_tracheostomy,sentinel_events,Respiratory/Airway (Tracheostomy),radio,Has the patient had a Tracheostomy placed?,"1, Yes | 0, No",Lifetime tracheostomy,,,,,,,,,,,
date_first_tracheo,sentinel_events,,text,Estimated date of first Tracheostomy placement,,YYYY-MM-DD,date_ymd,,,,"[hist_tracheostomy]=""1""",y,,,,,
age_tracheostomy,sentinel_events,,calc,Estimated age at first tracheostomy placement,"round(datediff([visit_1_arm_1][dob], [date_first_tracheo],""y"",""ymd""),2)",Calculated field,,,,,"[hist_tracheostomy]=""1""",,,,,,
vital_status,sentinel_events,Vital Status,radio,Has participant died?,"1, Yes | 0, No",,,,,,,y,,,,,
date_death,sentinel_events,,text,Date of death,,YYYY-MM-DD,date_ymd,,,,"[vital_status]=""1""",y,,,,,
age_death,sentinel_events,,calc,Age at death,"round(datediff([visit_1_arm_1][dob], [date_death],""y"",""ymd""),2)",Calculated field,,,,,"[vital_status]=""1""",,,,,,
death_eb,sentinel_events,,radio,Is death related to EB?,"1, Yes | 0, No",,,,,,"[vital_status]=""1""",y,,,,,
cause_death,sentinel_events,,checkbox,Cause of Death,"1, Infection/Sepsis | 2, Respiratory | 3, Cardiac | 4, Neoplasm | 5, Kidney/Renal | 6, Other | 999, Unknown",Check all that apply,,,,,"[vital_status]=""1"" and [death_eb]=""1""",,,,,,
comments_death,sentinel_events,,notes,Comments on cause of death,,,,,,,"[vital_status]=""1"" and [death_eb]=""1"" and [cause_death(6)]=""1""",,,,,,
visit_6months,clinical_features_and_management,,radio,Has the patient had any clinic visits within the last 6 months?,"1, Yes | 0, No",,,,,,,y,,,,,
date_clc,clinical_features_and_management,,text,Date of most recent clinic visit,,YYYY-MM-DD,date_ymd,,,,"[visit_6months]=""1""",y,,,,,
age_clc,clinical_features_and_management,,calc,Age at the most recent clinic visit,"round(datediff([visit_1_arm_1][dob], [date_clc],""y"",""ymd""),2)",Calculated field,,,,,"[visit_6months]=""1""",,,,,,
height,clinical_features_and_management,,text,Height (cm),,cm,,,,,"[visit_6months]=""1""",,,,,,
height_prct,clinical_features_and_management,,text,Percentile of Height,,Number only,number,,,,"[visit_6months]=""1""",,,,,,
weight,clinical_features_and_management,,text,Weight (kg),,kg,,,,,"[visit_6months]=""1""",,,,,,
weight_prct,clinical_features_and_management,,text,Percentile of Weight,,Number only,number,,,,"[visit_6months]=""1""",,,,,,
bmi,clinical_features_and_management,,calc,BMI ,"round([weight]*10000/([height]*[height]),2)",Calculated field,,,,,"[visit_6months]=""1""",,,,,,
bmi_prct,clinical_features_and_management,,text,Percentile of BMI,,As reported in electronic medical records,number,,,,"[visit_6months]=""1""",,,,,,
system,clinical_features_and_management,,checkbox,Organ System Involvement,"1, Cutaneous (Skin) | 2, Oral (Mucosal and Dental) | 3, Airway/Respiratory | 4, Ocular | 5, Gastrointestinal | 6, Nutritional | 7, Hematology (including Anemia and Transfusion) | 8, Musculoskeletal (including Hand & Foot deformity, Physical, and Occupational therapy) | 9, Cardiac | 10, Endocrinology | 11, Renal and Genitourinary | 12, Pain and Itch | 13, Psychosocial | 14, Hospitalizations",Check all that apply,,,,,"[visit_6months]=""1""",,,,,,
cutaneous_invo,clinical_features_and_management,"Cutaneous Involvement (including Hair and Nail Involvement):Based on most recent exam unless specified otherwise",checkbox,Types of Skin Changes,"0, No skin changes | 1, Blisters | 2, Erosions/Ulcers | 3, Nevi | 4, Milia | 5, Scarring | 6, Mottled pigmentation | 7, Dyspigmentation-other | 8, Keratoderma (PPK) | 9, Hyperkeratosis (Non-PPK) | 10, Granulation Tissue | 11, Poikiloderma | 12, Other",Check all that apply,,,,,"[system(1)]=""1""",,,,,,
other_cut_invo,clinical_features_and_management,,notes,Specify Other Cutaneous Involvement,,,,,,,"[cutaneous_invo(12)]=""1""",,,,,,
wound_loc,clinical_features_and_management,,checkbox,Location of Blisters and Erosions/Ulcers (check all that apply),"0, Face | 1, Scalp | 2, Neck | 3, Chest | 4, Abdomen | 5, Back | 6, Axillae | 7, Arms | 8, Hands | 9, Genitalia/Buttocks | 10, Legs | 11, Feet | 12, Unspecified",Check all that apply,,,,,"[system(1)]=""1"" and ([cutaneous_invo(1)]=""1"" or [cutaneous_invo(2)]=""1"")",,,,,,
wound_unspecific,clinical_features_and_management,,notes,Unspecified Location of Blisters and Erosions/Ulcers,,,,,,,"[wound_loc(12)]=""1""",,,,,,
bsa_estimate_wounds,clinical_features_and_management,,radio,Estimated BSA Involvement for Wounds (Blisters and Erosions/Ulcers),"0, 1-9% | 1, 10-29% | 2, 30-49% | 3, 50- 69% | 4, 70-89% | 5, >90% | 6, None",Select one,,,,,"([cutaneous_invo(1)]=""1"" or [cutaneous_invo(2)]=""1"")",,,,,,
bsa_estimate_n,clinical_features_and_management,,radio,Estimated BSA Involvement for All Skin Finding (except EB Nevi),"0, 1-9% | 1, 10-29% | 2, 30-49% | 3, 50- 69% | 4, 70-89% | 5, >90% | 6, None",Select one,,,,,"[system(1)]=""1""",,,,,,
cut_chronic,clinical_features_and_management,,radio,Presence of Chronic Wounds (>6 weeks),"1, Yes | 0, No",,,,,,"[system(1)]=""1""",,,,,,
adv_treat,clinical_features_and_management,,yesno,"Advanced or Specialized Wound Care Procedure (s)(Dermagraft, Amniotic membrane, etc.)",,,,,,,,,,,,,
trt_comment,clinical_features_and_management,,notes,Comment on Advanced Wound Care Procedure (s) and the Date(s) ,,,,,,,[adv_treat] = '1',,,,,,
cut_infections,clinical_features_and_management,,radio,Signs of Infection,"1, Yes | 0, No",Report wound culture results in the lab form,,,,,"[system(1)]=""1""",,,,,,
spec_sign_infxn_temp,clinical_features_and_management,,checkbox,Specific signs of infection,"0, Expanding, raised borders | 1, Local pain | 2, Increased local temperature | 3, Purulent exudate | 4, Foul odor | 5, Other",Check all that apply,,,,,"[cut_infections]=""1""",,,,,,
other_sign_infec,clinical_features_and_management,,notes,Specify the other signs of infection,,,,,,,"[cut_infections]=""1"" and [spec_sign_infxn_temp(5)]=""1""",,,,,,
inf_therapy,clinical_features_and_management,,checkbox,Recommended therapy/therapies for cutaneous infections ,"0, None | 1, Topical antibiotic | 2, Antimicrobial dressing | 3, Oral antibiotic | 4, IV antibiotic | 5, Other",Check all that apply,,,,,"[cut_infections]=""1""",,,,,,
inf_other_therapy,clinical_features_and_management,,notes,Specify the other therapy/therapies for cutaneous infections,,,,,,,"[inf_therapy(5)]=""1""",,,,,,
hair_invo,clinical_features_and_management,,checkbox,Hair Involvement,"0, No abnormalities noted | 1, Alopecia | 2, Thinning without focal alopecia | 3, Scalp scarring | 4, Other",Check all that apply,,,,,"[system(1)]=""1""",,,,,,
hair_invo_other,clinical_features_and_management,,notes,Specify the other types of hair Involvement,,,,,,,"([hair_invo(4)]=""1"")",,,,,,
nail_invo,clinical_features_and_management,,checkbox,Nail Involvement,"0, No Nail Involvement |1, Absent Nails |2, Hypoplastic Nails | 3, Thickened Nails | 4, Paronychia | 5,  Other",Check all that apply,,,,,"[system(1)]=""1""",,,,,,
other_nail_invo,clinical_features_and_management,,notes,Specify the other types of nail involvement,,,,,,,"[nail_invo(5)]=""1""",,,,,,
nail_absent_num,clinical_features_and_management,,text,Number of Absent Nails,,,,,,,"[nail_invo(1)]=""1""",,,,,,
nail_hypo_num,clinical_features_and_management,,text,Number of Hypoplastic Nails,,,,,,,"[nail_invo(2)]=""1""",,,,,,
nail_thick_num,clinical_features_and_management,,text,Number of Thickened Nails,,Whole number,integer,,,,"[nail_invo(3)]=""1""",,,,,,
cut_scc,clinical_features_and_management,,checkbox,Number of new squamous cell carcinoma (skin only) within the last 6 months,"0, None | 1, 1 new SCC | 2, 2 or more new SCCs | 3, Nodal Spread | 4, Metastatic",Check number and spread if applicable,,,,,"[system(1)]=""1""",,,,,,
cut_scc_numbers,clinical_features_and_management,,text,Number of SCC (if more than 2),,Whole number,integer,,,,[cut_scc(2)]='1',,,,,,
cut_scc_comments,clinical_features_and_management,,notes,Comments on SCC,,,,,,,[cut_scc(1)]='1' or [cut_scc(2)]='1' or [cut_scc(3)]='1' or [cut_scc(4)]='1',,,,,,
cut_scc_therapy,clinical_features_and_management,,checkbox,Therapy for SCC,"0, Excision | 1, Chemotherapy | 2, Radiation | 3, Amputation | 4,Other",Check all that apply,,,,,[cut_scc(1)]='1' or [cut_scc(2)]='1' or [cut_scc(3)]='1' or [cut_scc(4)]='1',,,,,,
cut_scc_therapy_other,clinical_features_and_management,,notes,Specify the other therapy for SCC,,,,,,,"[cut_scc_therapy(4)]=""1""",,,,,,
malig_melanoma,clinical_features_and_management,,radio,Malignant Melanoma within the last 6 months,"1, Yes | 0, No",,,,,,"[system(1)]=""1""",,,,,,
malig_melanoma_comments,clinical_features_and_management,,notes,Comments on Malignant Melanoma ,,,,,,,"[malig_melanoma]=""1""",,,,,,
malig_melanoma_therapy,clinical_features_and_management,,notes,Therapy for Malignant Melanoma,,,,,,,"[malig_melanoma]=""1""",,,,,,
oral_mucosa,clinical_features_and_management,"Oral (Mucosal and Dental) Involvement:Based on most recent exam unless specified otherwise",checkbox,Oral Mucosal Involvement,"0, No abnormalities noted | 1, Microstomia | 2, Ankyloglossia | 3, Blisters | 4, Erosions | 5, Gingival hyperplasia | 6, Other",Check all that apply,,,,,"[system(2)]=""1""",,,,,,
other_oral_mucosa,clinical_features_and_management,,notes,Specify Other Oral Mucosal Involvement,,,,,,,"[oral_mucosa(6)]=""1""",,,,,,
microstomia,clinical_features_and_management,,text,Microstomia (mouth opening in mm),,Number,,,,,"[oral_mucosa(1)]=""1""",,,,,,
oral_mucosa_therapy,clinical_features_and_management,,checkbox,Recommended therapy for Oral Mucosal Involvement ,"0, None | 1, Antimicrobial mouthwash | 2, Coating agents (e.g. Carafate) | 3, Topical Anesthetic | 4, Other",Check all that apply,,,,,"[system(2)]=""1""",,,,,,
oral_mucosa_trt_other,clinical_features_and_management,,notes,Specify Other therapy for Oral Mucosa,,,,,,,"[oral_mucosa_therapy(4)]=""1""",,,,,,
oral_dental,clinical_features_and_management,,checkbox,Dental Involvement,"0, No abnormalities noted | 1, Demineralization | 2, Enamel hypoplasia | 3, Caries | 4, Crowded teeth | 5, Premature loss of teeth | 6, Other",Check all that apply,,,,,"[system(2)]=""1""",,,,,,
other_oral_dental,clinical_features_and_management,,notes,Specify Other Dental Involvement,,,,,,,"[oral_dental(6)]=""1""",,,,,,
dental_frq,clinical_features_and_management,,text,Number of Dental Visits within the last 6 months,,Whole number,integer,,,,"[system(2)]=""1""",,,,,,
dental_therapy,clinical_features_and_management,,checkbox,Dental Therapy and Procedures within the last 6 months,"0, None | 1, Routine cleaning | 2, Fillings | 3, Extractions | 4, Orthodontia | 5, Other",Check all that apply,,,,,"[system(2)]=""1""",,,,,,
dental_trt_other,clinical_features_and_management,,notes,Specify Other Dental Therapy and Procedure,,,,,,,"[dental_therapy(5)]=""1""",,,,,,
date_dental_therapy,clinical_features_and_management,,text,Date of Dental Therapy and Procedure,,YYYY-MM-DD,date_ymd,,,,"[dental_therapy(1)]=""1"" or [dental_therapy(2)]=""1"" or [dental_therapy(3)]=""1"" or [dental_therapy(4)]=""1"" or [dental_therapy(5)]=""1""",,,,,,
dental_anesthesia,clinical_features_and_management,,radio,Did the patient require general anesthesia for dental therapy or procedure?,"1, Yes | 0, No",,,,,,"[dental_therapy(1)]=""1"" or [dental_therapy(2)]=""1"" or [dental_therapy(3)]=""1"" or [dental_therapy(4)]=""1"" or [dental_therapy(5)]=""1""",,,,,,
resp_airway_invo,clinical_features_and_management,"Airway/Respiratory: Based on most recent exam unless specified otherwise",checkbox,Respiratory /Airway Involvement,"0, No abnormalities noted | 1, Stridor | 2, Dysphonia/Hoarseness | 3, Other",Check all that apply,,,,,"[system(3)]=""1"" ",,,,,,
other_resp_airway,clinical_features_and_management,,notes,Specify Other Respiratory/Airway Involvement,,,,,,,"[resp_airway_invo(3)]=""1""",,,,,,
resp_airway_therapy,clinical_features_and_management,,notes,Therapy for Respiratory/Airway Involvement (including ENT),,,,,,,"[resp_airway_invo(1)]=""1"" or [resp_airway_invo(2)]=""1"" or  [resp_airway_invo(3)]=""1""",,,,,,
ocular_invo,clinical_features_and_management,"Ocular Involvement:Based on most recent exam unless specified otherwise",checkbox,Ocular Involvement,"0, No abnormalities noted | 1, Corneal Abrasion, Erosion, or Blister | 2, Corneal Scarring | 3, Symblepharon | 4, Blepharitis | 5, Ectropion | 6, Lacrimal Duct Obstruction | 7, Decreased visual acuity  or Blindness | 9, Other",Check all that apply,,,,,"[system(4)]=""1""",,,,,,
ocular_other,clinical_features_and_management,,notes,Specify Other Ocular Involvement,,,,,,,"[ocular_invo(9)]=""1""",,,,,,
ocular_closure,clinical_features_and_management,,radio,Ocular Involvement-Palpebral closure (patient supine with eye closed),"0, Full closure | 1, White to interior conjunctiva | 2, White to cornea | 3, White to pupil",Select one,,,,,"[system(4)]=""1""",,,,,,
ocular_therapy,clinical_features_and_management,,checkbox,Therapy for Ocular Involvement within the last 6 months (Excluding vision correction),"0, None | 1, Lubricants | 2, Antimicrobials, topical | 3, Anti-Inflammatory, topical (e.g. Corticosteroid, Cyclosporin) | 4, Contact lenses | 5, Other",Check all that apply,,,,,"[system(4)]=""1""",,,,,,
ocular_trt_other,clinical_features_and_management,,notes,Specify Other Ocular Therapy,,,,,,,"[ocular_therapy(5)]=""1""",,,,,,
gi_invo,clinical_features_and_management,"Gastrointestinal Involvement within the last 6 months",checkbox,"Gastrointestinal Involvement within the last 6 months(Esophageal symptoms reported in Patient Directed Questions)","0, No abnormalities noted | 1, Esophageal web | 2, Esophageal stricture | 3, Esophageal perforation | 4, Gastroesophageal reflux disease (GERD) | 5, Dysmotility | 6, Chronic constipation | 7, Diarrhea | 8, Other",Check all that apply,,,,,"[system(5)]=""1""",,,,,,
other_gi_invo,clinical_features_and_management,,notes,Specify Other GI Involvement ,,,,,,,"[gi_invo(8)]=""1""",,,,,,
gi_therapy,clinical_features_and_management,,checkbox,"Therapy for GI involvement (Excluding procedures)","0, None | 1, Antacid/Anti-Reflux Medication | 2, Topical Swallowed Corticosteroids | 3, Systemic Corticosteroids | 4, Laxative/Stool Softener | 5, Pro-motility Agent | 6, Anti-Motility Agent | 7, Dietary modification | 8, Verapamil | 9, Phenytoin | 10, Other",Check all that apply,,,,,"[system(5)]=""1""",,,,,,
gi_therapy_other,clinical_features_and_management,,notes,Specify Other GI Therapy,,,,,,,"[gi_therapy(10)]=""1""",,,,,,
gi_dilat,clinical_features_and_management,,radio,Esophageal Dilatations within the last 6 months,"1, Yes | 0, No",,,,,,"[system(5)]=""1""",,,,,,
gi_dilat_num,clinical_features_and_management,,radio,Number of Esophageal Dilatations for the last 6 months,"1, 1 | 2, 2 | 3, 3",Select one,,,,,"[system(5)]=""1"" and [gi_dilat]=""1""",,,,,,
gi_dilat1_date,clinical_features_and_management,,text,Esophageal Dilatation #1: Date of procedure,,YYYY-MM-DD,date_ymd,,,,[gi_dilat_num]='1' or [gi_dilat_num]='2' or [gi_dilat_num]='3' ,,,,,,
gi_dilat1_symp,clinical_features_and_management,,checkbox,Esophageal Dilatation #1: Symptom(s) prompting the dilatation,"1, Unable to swallow formed solids | 2, Unable to swallow soft solids | 3, Unable to swallow liquids | 4, Unable to swallow anything | 5, Odynophagia (pain with swallowing) | 6, Other",Check all that apply,,,,,[gi_dilat_num]='1' or [gi_dilat_num]='2' or [gi_dilat_num]='3' ,,,,,,
gi_dilat1_symp_other,clinical_features_and_management,,notes,Esophageal Dilatation #1: Other Symptoms,,,,,,,"([gi_dilat_num]='1' or [gi_dilat_num]='2' or [gi_dilat_num]='3') and [gi_dilat1_symp(6)]=""1""",,,,,,
gi_dilat1_duration,clinical_features_and_management,,radio,Esophageal Dilatation #1: Duration of the Symptom(s),"0, < 1 month | 1, 1-3 month | 2, >3 months | 3, Unknown",,,,,,[gi_dilat_num]='1' or [gi_dilat_num]='2' or [gi_dilat_num]='3' ,,,,,,
gi_dilat1_image,clinical_features_and_management,,radio,"Esophageal Dilatation #1: Was an esophageal imaging (Stricture Evaluation) study done PRIOR to the procedure?(Report Results in Laboratory form)","1, Yes | 0, No | 2, Unknown",,,,,,[gi_dilat_num]='1' or [gi_dilat_num]='2' or [gi_dilat_num]='3' ,,,,,,
gi_dilat1_method,clinical_features_and_management,,checkbox,Esophageal Dilatation #1: Method of Dilatation,"0, Balloon over guidewire with endoscopy | 1, Balloon over guidewire without endoscopy | 2, Bougienage | 3, Anterograde (via mouth) | 4, Retrograde (via G-tube) | 5, Unknown",Select technique and direction,,,,,[gi_dilat_num]='1' or [gi_dilat_num]='2' or [gi_dilat_num]='3' ,,,,,,
gi_dilat1_anesthesia,clinical_features_and_management,,radio,Esophageal Dilatation #1: Type of Anesthesia used,"0, General Anesthesia | 1, Sedation | 2, Other",,,,,,[gi_dilat_num]='1' or [gi_dilat_num]='2' or [gi_dilat_num]='3' ,,,,,,
gi_dilat1_anest_other,clinical_features_and_management,,text,Esophageal Dilatation #1: Other Anesthesia,,,,,,,([gi_dilat_num]='1' or [gi_dilat_num]='2' or [gi_dilat_num]='3') and [gi_dilat1_anesthesia]='2',,,,,,
gi_dilat1_strc_num,clinical_features_and_management,,text,Esophageal Dilatation #1: Number of Stricture(s) found/fixed,,Whole number,,,,,[gi_dilat_num]='1' or [gi_dilat_num]='2' or [gi_dilat_num]='3' ,,,,,,
gi_dilat1_loc,clinical_features_and_management,,checkbox,Esophageal Dilatation #1: Location of Stricture(s) found ,"0, Upper (above clavicles)| 1, Middle | 2, Lower",Check all that apply,,,,,[gi_dilat_num]='1' or [gi_dilat_num]='2' or [gi_dilat_num]='3' ,,,,,,
gi_dilat1_size,clinical_features_and_management,,checkbox,Esophageal Dilatation #1: Size of the Stricture(s),"0, short (< or equal to 1cm) | 1, long (>1cm) | 2, Unknown /Unspecified",Check all that apply,,,,,[gi_dilat_num]='1' or [gi_dilat_num]='2' or [gi_dilat_num]='3' ,,,,,,
gi_dilat1_outcome,clinical_features_and_management,,checkbox,Esophageal Dilatation #1: Outcome,"0, Fully dilated (i.e-no waist on imaging) | 1, Partially dilated (i.e- some waist on imaging) | 2, Not able to be dilated",Check all that apply,,,,,[gi_dilat_num]='1' or [gi_dilat_num]='2' or [gi_dilat_num]='3' ,,,,,,
gi_dilat1_comp,clinical_features_and_management,,checkbox,"Esophageal Dilatation #1: Complications(Within 72 hours after the procedure)","0, None reported or noted | 1, Pain (of the neck, chest or abdomen) | 2, Bleeding | 3, Esophageal perforation | 4, Fever | 5, Bacteremia | 6, Other",Check all that apply,,,,,[gi_dilat_num]='1' or [gi_dilat_num]='2' or [gi_dilat_num]='3' ,,,,,,
gi_dilat1_comp_other,clinical_features_and_management,,notes,Esophageal Dilatation #1: Other Complications ,,,,,,,"([gi_dilat_num]='1' or [gi_dilat_num]='2' or [gi_dilat_num]='3') and [gi_dilat1_comp(6)]=""1"" ",,,,,,
gi_dilat2_date,clinical_features_and_management,,text,Esophageal Dilatation #2: Date of procedure,,YYYY-MM-DD,date_ymd,,,,[gi_dilat_num]='2' or [gi_dilat_num]='3' ,,,,,,
gi_dilat2_symp,clinical_features_and_management,,checkbox,Esophageal Dilatation #2: Symptom(s) prompting the dilatation,"1, Unable to swallow formed solids | 2, Unable to swallow soft solids | 3, Unable to swallow liquids | 4, Unable to swallow anything | 5, Odynophagia (pain with swallowing) | 6, Other",Check all that apply,,,,,[gi_dilat_num]='2' or [gi_dilat_num]='3' ,,,,,,
gi_dilat2_symp_other,clinical_features_and_management,,notes,Esophageal Dilatation #2: Other Symptoms,,,,,,,"([gi_dilat_num]='2' or [gi_dilat_num]='3') and [gi_dilat2_symp(6)]=""1""",,,,,,
gi_dilat2_duration,clinical_features_and_management,,radio,Esophageal Dilatation #2: Duration of the Symptom(s),"0, < 1 month | 1, 1-3 month | 2, >3 months | 3, Unknown",,,,,,[gi_dilat_num]='2' or [gi_dilat_num]='3' ,,,,,,
gi_dilat2_image,clinical_features_and_management,,radio,"Esophageal Dilatation #2: Was an esophageal imaging (Stricture Evaluation) study done PRIOR to the procedure?(Report Results in Laboratory form)","1, Yes | 0, No | 2, Unknown",,,,,,[gi_dilat_num]='2' or [gi_dilat_num]='3' ,,,,,,
gi_dilat2_method,clinical_features_and_management,,checkbox,Esophageal Dilatation #2: Method of Dilatation,"0, Balloon over guidewire with endoscopy | 1, Balloon over guidewire without endoscopy | 2, Bougienage | 3, Anterograde (via mouth) | 4, Retrograde (via G-tube) | 5, Unknown",Select technique and direction,,,,,[gi_dilat_num]='2' or [gi_dilat_num]='3' ,,,,,,
gi_dilat2_anesthesia,clinical_features_and_management,,radio,Esophageal Dilatation #2: Type of Anesthesia used,"0, General Anesthesia | 1, Sedation | 2, Other",,,,,,[gi_dilat_num]='2' or [gi_dilat_num]='3' ,,,,,,
gi_dilat2_anest_other,clinical_features_and_management,,text,Esophageal Dilatation #2: Other Anesthesia,,,,,,,([gi_dilat_num]='2' or [gi_dilat_num]='3') and [gi_dilat2_anesthesia]='2',,,,,,
gi_dilat2_strc_num,clinical_features_and_management,,text,Esophageal Dilatation #2: Number of Stricture(s) found/fixed,,Whole number,,,,,[gi_dilat_num]='2' or [gi_dilat_num]='3' ,,,,,,
gi_dilat2_loc,clinical_features_and_management,,checkbox,Esophageal Dilatation #2: Location of Stricture(s) found ,"0, Upper (above clavicles)| 1, Middle | 2, Lower",Check all that apply,,,,,[gi_dilat_num]='2' or [gi_dilat_num]='3' ,,,,,,
gi_dilat2_size,clinical_features_and_management,,checkbox,Esophageal Dilatation #2: Size of the Stricture(s),"0, short (< or equal to 1cm) | 1, long (>1cm) | 2, Unknown /Unspecified",,,,,,[gi_dilat_num]='2' or [gi_dilat_num]='3' ,,,,,,
gi_dilat2_outcome,clinical_features_and_management,,dropdown,Esophageal Dilatation #2: Outcome,"0, Fully dilated (i.e-no waist on imaging) | 1, Partially dilated (i.e- some waist on imaging) | 2, Not able to be dilated",Select one,,,,,[gi_dilat_num]='2' or [gi_dilat_num]='3' ,,,,,,
gi_dilat2_comp,clinical_features_and_management,,checkbox,"Esophageal Dilatation #2: Complications(Within 72 hours after the procedure)","0, None reported or noted | 1, Pain (of the neck, chest or abdomen) | 2, Bleeding | 3, Esophageal perforation | 4, Fever | 5, Bacteremia | 6, Other",Check all that apply,,,,,[gi_dilat_num]='2' or [gi_dilat_num]='3' ,,,,,,
gi_dilat2_comp_other,clinical_features_and_management,,notes,Esophageal Dilatation #2: Other Complications ,,,,,,,"([gi_dilat_num]='2' or [gi_dilat_num]='3') and [gi_dilat2_comp(6)]=""1"" ",,,,,,
gi_dilat3_date,clinical_features_and_management,,text,Esophageal Dilatation #3: Date of procedure,,YYYY-MM-DD,date_ymd,,,,[gi_dilat_num]='3' ,,,,,,
gi_dilat3_symp,clinical_features_and_management,,checkbox,Esophageal Dilatation #3: Symptom(s) prompting the dilatation,"1, Unable to swallow formed solids | 2, Unable to swallow soft solids | 3, Unable to swallow liquids | 4, Unable to swallow anything | 5, Odynophagia (pain with swallowing) | 6, Other",Check all that apply,,,,,[gi_dilat_num]='3' ,,,,,,
gi_dilat3_symp_other,clinical_features_and_management,,notes,Esophageal Dilatation #3: Other Symptoms,,,,,,,"[gi_dilat_num]='3' and [gi_dilat3_symp(6)]=""1""",,,,,,
gi_dilat3_duration,clinical_features_and_management,,radio,Esophageal Dilatation #3: Duration of the Symptom(s),"0, < 1 month | 1, 1-3 month | 2, >3 months | 3, Unknown",,,,,,[gi_dilat_num]='3' ,,,,,,
gi_dilat3_image,clinical_features_and_management,,radio,"Esophageal Dilatation #3: Was an esophageal imaging (Stricture Evaluation) study done PRIOR to the procedure?(Report Results in Laboratory form)","1, Yes | 0, No | 2, Unknown",,,,,,[gi_dilat_num]='3' ,,,,,,
gi_dilat3_method,clinical_features_and_management,,checkbox,Esophageal Dilatation #3: Method of Dilatation,"0, Balloon over guidewire with endoscopy | 1, Balloon over guidewire without endoscopy | 2, Bougienage | 3, Anterograde (via mouth) | 4, Retrograde (via G-tube) | 5, Unknown",Select technique and direction,,,,,[gi_dilat_num]='3' ,,,,,,
gi_dilat3_anesthesia,clinical_features_and_management,,radio,Esophageal Dilatation #3: Type of Anesthesia used,"0, General Anesthesia | 1, Sedation | 2, Other",,,,,,[gi_dilat_num]='3' ,,,,,,
gi_dilat3_anest_other,clinical_features_and_management,,text,Esophageal Dilatation #3: Other Anesthesia,,,,,,,[gi_dilat_num]='3' and [gi_dilat3_anesthesia]='2',,,,,,
gi_dilat3_strc_num,clinical_features_and_management,,text,Esophageal Dilatation #3: Number of Stricture(s) found/fixed,,Whole number,,,,,[gi_dilat_num]='3' ,,,,,,
gi_dilat3_loc,clinical_features_and_management,,checkbox,Esophageal Dilatation #3: Location of Stricture(s) found ,"0, Upper (above clavicles)| 1, Middle | 2, Lower",Check all that apply,,,,,[gi_dilat_num]='3' ,,,,,,
gi_dilat3_size,clinical_features_and_management,,checkbox,Esophageal Dilatation #3: Size of the Stricture(s),"0, short (< or equal to 1cm) | 1, long (>1cm) | 2, Unknown /Unspecified",,,,,,[gi_dilat_num]='3' ,,,,,,
gi_dilat3_outcome,clinical_features_and_management,,dropdown,Esophageal Dilatation #3: Outcome,"0, Fully dilated (i.e-no waist on imaging) | 1, Partially dilated (i.e- some waist on imaging) | 2, Not able to be dilated",Select one,,,,,[gi_dilat_num]='3' ,,,,,,
